seed,alpha,split,method,assumed_mu,assumed_normal_ceiling_N,certification_coverage,true_constraint_valid_fraction,false_certificate_per_frame,violation_given_certification,valid_certificates_per_frame,trajectory_any_false_certificate,certified_frames,frames
17,0.05,test_sharp,frame_constraint,0.5,0.5,0.0,0.5237229768509661,0.0,,0.0,0.0,0,20908
17,0.05,test_sharp,frame_constraint,0.5,1.0,0.03649320834130476,0.746030227664052,0.0011478859766596518,0.03145478374836173,0.03534532236464511,0.03289473684210526,763,20908
17,0.05,test_sharp,frame_constraint,0.5,2.0,0.03711497991199541,0.746030227664052,0.0017218289649894778,0.04639175257731959,0.03539315094700593,0.04276315789473684,776,20908
17,0.05,test_sharp,frame_constraint,0.5,3.0,0.03711497991199541,0.746030227664052,0.0017218289649894778,0.04639175257731959,0.03539315094700593,0.04276315789473684,776,20908
17,0.05,test_sharp,frame_constraint,0.8,0.5,0.028410177922326384,0.5440501243543141,0.0009565716472163765,0.03367003367003367,0.027453606275110006,0.029605263157894735,594,20908
17,0.05,test_sharp,frame_constraint,0.8,1.0,0.1771092404821121,0.7801320068873159,0.010235316625215228,0.05779098028625439,0.1668739238568969,0.1611842105263158,3703,20908
17,0.05,test_sharp,frame_constraint,0.8,2.0,0.20872393342261336,0.7801798354696767,0.01917926152668835,0.09188817598533455,0.189544671895925,0.2236842105263158,4364,20908
17,0.05,test_sharp,frame_constraint,0.8,3.0,0.20872393342261336,0.7801798354696767,0.01917926152668835,0.09188817598533455,0.189544671895925,0.2236842105263158,4364,20908
17,0.05,test_id,trajectory_coordinate_box,0.3,0.5,0.0,0.5585915805842497,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.3,1.0,0.0,0.7534155281572809,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.3,2.0,0.0,0.7534155281572809,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.3,3.0,0.0,0.7534155281572809,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.5,0.5,0.0,0.5653670998556037,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.5,1.0,0.0,0.7679662334777296,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.5,2.0,0.0,0.7679662334777296,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.5,3.0,0.0,0.7679662334777296,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.8,0.5,0.0,0.5828057314228591,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.8,1.0,0.0,0.801732755748084,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.8,2.0,0.0,0.8021770520937466,0.0,,0.0,0.0,0,9003
17,0.05,test_id,trajectory_coordinate_box,0.8,3.0,0.0,0.8021770520937466,0.0,,0.0,0.0,0,9003
17,0.05,test_batch6,trajectory_coordinate_box,0.3,0.5,0.0,0.5665258711721225,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.3,1.0,0.0,0.744368180218233,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.3,2.0,0.0,0.744368180218233,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.3,3.0,0.0,0.744368180218233,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.5,0.5,0.0,0.5732136571629708,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.5,1.0,0.0,0.7580077437521999,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.5,2.0,0.0,0.7580077437521999,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.5,3.0,0.0,0.7580077437521999,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.8,0.5,0.0,0.5875571981696586,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.8,1.0,0.0,0.7864308342133052,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.8,2.0,0.0,0.7864308342133052,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,trajectory_coordinate_box,0.8,3.0,0.0,0.7864308342133052,0.0,,0.0,0.0,0,11364
17,0.05,test_flat,trajectory_coordinate_box,0.3,0.5,0.0,0.33001149865848983,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,trajectory_coordinate_box,0.3,1.0,0.0,0.5921809122269068,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,trajectory_coordinate_box,0.3,2.0,0.0,0.5921809122269068,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,trajectory_coordinate_box,0.3,3.0,0.0,0.5921809122269068,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,trajectory_coordinate_box,0.5,0.5,0.0,0.34495975469528556,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,trajectory_coordinate_box,0.5,1.0,0.0,0.6211575316213108,0.0,,0.0,0.0,0,13045
