method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
visuotactile_margin_height_rl,all,native_shaped_return,45.66348802661482,42.32889277169765,48.905900505017264,3,20,18.286322746164796,,"[48.337352518312784, 62.46566921243421, 26.187442349097477]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,sustained_10cm_lift_within_force_budget,0.13333333333333333,0.03333333333333333,0.23333333333333334,3,10,0.23094010767585035,"[0.0, 4.0, 0.0]","[0.0, 0.4, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,sustained_10cm_lift_success,0.19999999999999998,0.1,0.3,3,10,0.34641016151377546,"[0.0, 6.0, 0.0]","[0.0, 0.6, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,force_budget_exceeded,0.06666666666666667,0.0,0.16666666666666666,3,10,0.11547005383792518,"[0.0, 2.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,intervention_force_budget_exceeded,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,full_episode_peak_normal_N,2.8997956713040667,2.095291118224462,3.5703678773840264,3,10,3.237874093636205,,"[1.2827220678329467, 6.6276874303817745, 0.7889775156974792]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,id,native_shaped_return,52.81946944961574,46.70432589826171,58.618554051678515,3,10,28.00888456347041,,"[49.84919770755458, 82.19511856123667, 26.414092080055962]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,ood,force_budget_exceeded,0.13333333333333333,0.03333333333333333,0.23333333333333334,3,10,0.23094010767585035,"[0.0, 4.0, 0.0]","[0.0, 0.4, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
