method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_persistence,test_combined_ood,contact_phase_endpoint_force_mae_N,0.3897853153899559,0.2843136506249686,0.5356328630910724,30,3,6.798699777552591e-17,2000,"[0.38978531538995587, 0.38978531538995587, 0.38978531538995587]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N,0.13244038827360943,0.07477650196453862,0.1995552249431441,30,3,0.0,2000,"[0.13244038827360943, 0.13244038827360943, 0.13244038827360943]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N_h1,0.08901802518236863,0.047282167687011815,0.14093736957994943,30,3,1.6996749443881478e-17,2000,"[0.08901802518236865, 0.08901802518236865, 0.08901802518236865]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N_h2,0.10929438429479314,0.05899189813069447,0.17189183244337228,30,3,0.0,2000,"[0.10929438429479314, 0.10929438429479314, 0.10929438429479314]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N_h3,0.13287260102089257,0.07352498654932627,0.20289668515316117,30,3,0.0,2000,"[0.13287260102089257, 0.13287260102089257, 0.13287260102089257]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N_h4,0.15943499226101537,0.08864189994518744,0.24212850603653618,30,3,0.0,2000,"[0.15943499226101537, 0.15943499226101537, 0.15943499226101537]"
visuotactile_persistence,test_combined_ood,endpoint_force_mae_N_h5,0.1715819386089775,0.10114937947110565,0.25005142825436305,30,3,3.3993498887762956e-17,2000,"[0.17158193860897747, 0.17158193860897747, 0.17158193860897747]"
visuotactile_persistence,test_combined_ood,height_mae_m,0.004456201345374143,0.003310164562531766,0.005590137624888113,30,3,0.0005347577399746002,2000,"[0.004057792708216261, 0.005063962586353429, 0.00424684874155274]"
visuotactile_persistence,test_combined_ood,height_mae_m_h1,0.0035684261188510358,0.002729198108165562,0.004469157184846321,30,3,0.000722570714259318,2000,"[0.0029683574805191406, 0.004370502925335636, 0.0033664179506983295]"
visuotactile_persistence,test_combined_ood,height_mae_m_h2,0.003853264623235359,0.0029208902757546402,0.004797259600679725,30,3,0.0006548308984226036,2000,"[0.003339547951893312, 0.004590617383138225, 0.003629628534674541]"
visuotactile_persistence,test_combined_ood,height_mae_m_h3,0.004348342815221124,0.0032293254674635443,0.005452320538320675,30,3,0.0005301093662193606,2000,"[0.003966633341931609, 0.004953612016688567, 0.0041247830870431955]"
