method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N_h3,1.228757093364666,0.8885951879111667,1.600918649688958,30,1,,2000,[1.228757093364666]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N_h3,1.1586634475292845,0.8203962251105069,1.5258022788607866,30,1,,2000,[1.1586634475292845]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N_h4,1.121464289456813,0.8003682171970141,1.4729836908059828,30,1,,2000,[1.121464289456813]
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N_h4,1.2228235176261686,0.8863087333542106,1.5858233506097887,30,1,,2000,[1.2228235176261686]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N_h4,1.1586419361814235,0.8249015200190479,1.5219705851944982,30,1,,2000,[1.1586419361814235]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N_h5,1.1394545091110868,0.8087633517424627,1.5057192271637116,30,1,,2000,[1.1394545091110868]
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N_h5,1.22904169181517,0.886345666964297,1.5943660328762896,30,1,,2000,[1.22904169181517]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N_h5,1.1658346927253944,0.8354717000888626,1.5294303346300768,30,1,,2000,[1.1658346927253944]
vision_world_model,test_geometry_ood,0,height_episode_coverage,0.9,0.8,1.0,30,1,,2000,[0.9]
vision_world_model,test_geometry_ood,1,height_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_geometry_ood,2,height_episode_coverage,0.7,0.5333333333333333,0.8666666666666667,30,1,,2000,[0.7]
vision_world_model,test_geometry_ood,0,height_mae_m,0.006091003099036041,0.004343083899716537,0.007819290123715312,30,1,,2000,[0.006091003099036041]
vision_world_model,test_geometry_ood,1,height_mae_m,0.004723885752587294,0.0037387781255007013,0.00572535551097357,30,1,,2000,[0.004723885752587294]
vision_world_model,test_geometry_ood,2,height_mae_m,0.005972509645488269,0.004646894891014542,0.007299329292320989,30,1,,2000,[0.005972509645488269]
vision_world_model,test_geometry_ood,0,height_mae_m_h1,0.0048863552300544046,0.0035413991993296402,0.006241071255247028,30,1,,2000,[0.0048863552300544046]
vision_world_model,test_geometry_ood,1,height_mae_m_h1,0.00459599404117196,0.0036118045448949687,0.005568281239960924,30,1,,2000,[0.00459599404117196]
vision_world_model,test_geometry_ood,2,height_mae_m_h1,0.005592643805785984,0.00439709651427337,0.006856408554465614,30,1,,2000,[0.005592643805785984]
vision_world_model,test_geometry_ood,0,height_mae_m_h2,0.005322564583556313,0.0036807397691849876,0.006926175579241113,30,1,,2000,[0.005322564583556313]
vision_world_model,test_geometry_ood,1,height_mae_m_h2,0.004521551430160697,0.0035205246892292055,0.0055254733431841785,30,1,,2000,[0.004521551430160697]
vision_world_model,test_geometry_ood,2,height_mae_m_h2,0.005752716079845817,0.004447788894220139,0.007097986269945976,30,1,,2000,[0.005752716079845817]
vision_world_model,test_geometry_ood,0,height_mae_m_h3,0.006014209908058142,0.00423310318513864,0.007750587984940566,30,1,,2000,[0.006014209908058142]
vision_world_model,test_geometry_ood,1,height_mae_m_h3,0.004502412661030475,0.0035206974395469944,0.005509298933150904,30,1,,2000,[0.004502412661030475]
vision_world_model,test_geometry_ood,2,height_mae_m_h3,0.005973662361890698,0.004613311426604115,0.00735829770008503,30,1,,2000,[0.005973662361890698]
vision_world_model,test_geometry_ood,0,height_mae_m_h4,0.006731281966818238,0.004829902716432925,0.00861436334749467,30,1,,2000,[0.006731281966818238]
vision_world_model,test_geometry_ood,1,height_mae_m_h4,0.004810922625620151,0.003775208888344221,0.005895008504004281,30,1,,2000,[0.004810922625620151]
vision_world_model,test_geometry_ood,2,height_mae_m_h4,0.006142809047402504,0.004780062073232128,0.007562577897491994,30,1,,2000,[0.006142809047402504]
vision_world_model,test_geometry_ood,0,height_mae_m_h5,0.007500603806693107,0.005449725513407934,0.009521434809622911,30,1,,2000,[0.007500603806693107]
vision_world_model,test_geometry_ood,1,height_mae_m_h5,0.005188548004953191,0.00407554792865671,0.006360412226596964,30,1,,2000,[0.005188548004953191]
vision_world_model,test_geometry_ood,2,height_mae_m_h5,0.006400716932516338,0.004975313953077098,0.007896651534766229,30,1,,2000,[0.006400716932516338]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N,2.3274450462526746,1.5862766130218904,3.1530657119982766,30,1,,2000,[2.3274450462526746]
vision_world_model,test_geometry_ood,1,interval_peak_mae_N,2.6757671787871256,1.8463810953908495,3.5998394827110896,30,1,,2000,[2.6757671787871256]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N,2.5204734956290986,1.7164221361640428,3.4241956562141556,30,1,,2000,[2.5204734956290986]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N_h1,2.262254553238551,1.5673963089982668,3.0485910591847354,30,1,,2000,[2.262254553238551]
vision_world_model,test_geometry_ood,1,interval_peak_mae_N_h1,2.657131471236547,1.8711148138079379,3.5837881452474325,30,1,,2000,[2.657131471236547]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N_h1,2.534067867729399,1.7381137037475904,3.44084585285849,30,1,,2000,[2.534067867729399]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N_h2,2.2421070652537876,1.5141191463536685,3.0504711661537485,30,1,,2000,[2.2421070652537876]
