method,domain,training_seed,environment_seed,episode_id,windows,endpoint_force_mae_N,endpoint_force_mae_N_h1,endpoint_force_mae_N_h2,endpoint_force_mae_N_h3,endpoint_force_mae_N_h4,endpoint_force_mae_N_h5,interval_peak_mae_N,interval_peak_mae_N_h1,interval_peak_mae_N_h2,interval_peak_mae_N_h3,interval_peak_mae_N_h4,interval_peak_mae_N_h5,height_mae_m,height_mae_m_h1,height_mae_m_h2,height_mae_m_h3,height_mae_m_h4,height_mae_m_h5,contact_phase_endpoint_force_mae_N,contact_forecast_fraction,peak_episode_coverage,height_episode_coverage,joint_episode_coverage,contact_force_error_sum,contact_force_component_count
vision_world_model,test_geometry_ood,0,20351015,geometry_ood_015,30,1.6627413532955364,1.2951851001888928,1.5532614036463201,1.7527211481912268,1.7928333240457708,1.9197057904054722,3.7362273081143695,2.625631022453308,3.4402759114901227,4.039761598904928,4.0853090524673465,4.4901589552561445,0.009172517528447012,0.005515934635574619,0.008885433016500126,0.010083991087352235,0.010420525749213993,0.010956703153594087,2.5286852189697653,0.6533333333333333,1.0,1.0,1.0,1486.866908754222,588
vision_world_model,test_geometry_ood,0,20351016,geometry_ood_016,30,0.06294586482561297,0.05972462445497513,0.06432879511266947,0.06506542921480206,0.06333050727844239,0.06227996806717581,0.18566945552825928,0.19743682543436686,0.1898311932881673,0.1839741547902425,0.17860138416290283,0.17850371996561687,0.0005178451491519809,0.0007517220064376791,0.0005183644127100707,0.0004481902190794547,0.00044197211197266975,0.00042897699556003016,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351017,geometry_ood_017,30,1.3200577015471127,1.36749902135796,1.1425508544676835,1.3214331334870724,1.3536575386921565,1.4151479597306913,1.3999338595072428,1.6959847529729208,0.8856708367665609,1.3546703577041626,1.460527729988098,1.6028156201044719,0.01065437195279325,0.00801510769330586,0.008808440812087308,0.010823830271450181,0.012269791910269608,0.013354689076853296,2.003321908141936,0.6533333333333333,1.0,1.0,1.0,1177.9532819874585,588
vision_world_model,test_geometry_ood,0,20351018,geometry_ood_018,30,0.5168928398109145,0.4738599688021673,0.40402641172210374,0.5297279421550533,0.5683558472846117,0.6084940290906363,1.039567101796468,0.9277603228886923,0.791642689704895,1.021211822827657,1.1701154510180156,1.2871052225430806,0.0030496153181108336,0.0016494753964555761,0.0018739964424942931,0.002883434617736687,0.003908814738194147,0.004932355395673464,0.7769414318415025,0.64,1.0,1.0,1.0,447.5182647407055,576
vision_world_model,test_geometry_ood,0,20351019,geometry_ood_019,30,0.046046718419012096,0.053317709256791405,0.04732267761396037,0.044670945985449684,0.04283191961132818,0.04209033962753084,0.14912220160166423,0.1786210298538208,0.15122551918029786,0.14014208316802979,0.13722168604532878,0.1384006897608439,0.00036736557725816963,0.0004474557548140486,0.00034840700682252644,0.00032501641156462333,0.0003551230824086815,0.0003608256306809684,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351020,geometry_ood_020,30,0.06039329360756609,0.05479135002113051,0.06158300410542223,0.06296970548315181,0.061713741512762176,0.060908666915363736,0.18022491455078124,0.18547847270965576,0.18358851273854573,0.1796246608098348,0.17571720282236736,0.1767157236735026,0.0005054893018677831,0.0007685026619583368,0.0005019062043478092,0.0004296318705504139,0.00042201603452364603,0.0004053897379587094,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351021,geometry_ood_021,30,3.3263743520362508,3.2501925436158974,3.2512600887566805,3.34920004196465,3.361544410346283,3.4196746754977436,8.241642957528432,7.933054089546204,8.099378609657288,8.298724023501078,8.404736347993214,8.472321716944377,0.013863937788798164,0.01178687292849645,0.013031525731397172,0.01407283426184828,0.01487286458723247,0.015555591435016444,5.0749680575642255,0.6533333333333333,1.0,1.0,1.0,2984.0812178477645,588
vision_world_model,test_geometry_ood,0,20351022,geometry_ood_022,30,1.8824033919245833,1.731433167329265,1.6261812469818526,1.9102508566859695,2.029818737744871,2.114332950880958,5.727875614960988,5.201782671610514,4.972906112670898,5.829479249318441,6.199461166063944,6.435748875141144,0.003823987524180363,0.002929600452383359,0.00218231682277595,0.003278221593548854,0.004533451954678943,0.006196346797514707,2.8281502297258054,0.64,1.0,1.0,1.0,1629.014532322064,576
vision_world_model,test_geometry_ood,0,20351023,geometry_ood_023,30,1.5174507333959142,1.5578024840396312,1.5277093412561549,1.5253520003002552,1.5174651463205615,1.4589246950629684,1.8276129007339477,1.9406037251154582,1.879947559038798,1.9108092149098714,1.7152846892674765,1.6914193153381347,0.017244805013760925,0.013178440373546133,0.015128657295523833,0.01705618460352222,0.019262043316848575,0.02159869947936386,2.2505448163176576,0.6666666666666666,1.0,0.0,0.0,1350.3268897905946,600
vision_world_model,test_geometry_ood,0,20351024,geometry_ood_024,30,0.6259198467723197,0.6277639675264557,0.6264838708357678,0.6390552264120843,0.6198196824640035,0.6164764866232872,0.9427369864781697,0.9827502250671387,0.9297233740488688,0.9885840018590292,0.9028934955596923,0.9097338358561198,0.0022668965025028835,0.002174998305660362,0.0016512469369142006,0.0021197742122846344,0.0023761778177383047,0.0030122852399169157,0.9238167925038522,0.66,1.0,1.0,1.0,548.7471747472882,594
